genotype,Psource,mean_enzymes_per_cell,mean_CFU,mean_meanV,mean_growthrate,sd,kcat,km,solubility
R1,Pi,2925,1.51E+11,0.0002241,0.190265966,0.032756183,62,7.00E-06,47
R1,Px,2050000,240250000,0.00025,0.128206502,0.007148279,62,7.00E-06,47
R10,Pi,125.9,3.33E+11,1.34E-06,0.17900462,0.02948531,5.7,0.00024,41
R10,Px,10800000,573500000,0.0001975,0.027513391,0.029230507,5.7,0.00024,41
R11a,Pi,18.55,5.34E+11,2.31E-07,0.186909833,0.032252633,4.2,0.00025,39
R11a,Px,1936666.667,2.24E+08,1.01E-05,0.02805084,0.03435895,4.2,0.00025,39
R11b,Pi,110.15,2.01E+11,5.23E-07,0.19052214,0.033151138,4.1,0.00024,47
R11b,Px,1963333.333,3.34E+08,1.55E-05,0.026464982,0.034721693,4.1,0.00024,47
R12,Pi,121.925,2.68E+11,1.18E-06,0.192449235,0.031567552,6.4,0.00024,49
R12,Px,9645,494750000,1.71E-07,0.038076161,0.03551866,6.4,0.00024,49
R13a,Pi,86.95,2.47E+11,1.55E-06,0.191272092,0.029118132,17,0.00048,49
R13a,Px,2717.5,7184750000,1.41E-06,0.060485312,0.018375751,17,0.00048,49
R13b,Pi,66.55,5.35E+11,3.78E-07,0.173897894,0.020435,2.2,0.00036,59
R13b,Px,3613.333333,2372750000,9.10E-08,0.077420525,0.030857965,2.2,0.00036,59
R14,Pi,563.75,5.69E+11,9.38E-07,0.207252736,0.033289883,0.8,0.00064,57
R14,Px,17100000,659500000,3.29E-05,0.081287648,0.038875242,0.8,0.00064,57
R18,Pi,33.6,6.21E+11,3.53E-08,0.203645792,0.026699403,0.73,0.0013,52
R18,Px,227766.6667,137250000,5.26E-08,0.06447377,0.038651433,0.73,0.0013,52
R22,Pi,3.01E+01,7.09E+11,6.25E-09,0.190073227,0.028055147,0.12,0.0012,NA
R22,Px,2.45E+08,2.63E+08,1.89E-05,0.028085671,0.034254444,0.12,0.0012,NA
R2a,Pi,0.63265,5.73E+11,4.71E-07,0.186559045,0.03038283,160,1.30E-05,47
R2a,Px,515,623250000,4.16E-07,0.132109878,0.007935299,160,1.30E-05,47
R2b,Pi,45.7,3.31E+11,5.33E-05,0.190675354,0.029865721,440,1.80E-05,50
R2b,Px,102650,1.21E+08,4.38E-05,0.119388011,0.014740811,440,1.80E-05,50
R3,Pi,51.36666667,2.82E+11,2.31E-05,0.183332979,0.027148814,200,2.10E-05,53
R3,Px,26833.33333,708500000,3.03E-05,0.124700686,0.01006117,200,2.10E-05,53
R4,Pi,5.8475,5.49E+11,5.32E-06,0.186560255,0.031581677,300,0.00025,46
R4,Px,6583.333333,9.08E+08,9.94E-06,0.109210715,0.013113178,300,0.00025,46
R5a,Pi,2.0425,6.33E+11,3.98E-07,0.187516855,0.03039798,60,0.00031,42
R5a,Px,131666.6667,379500000,1.54E-05,0.093279977,0.012745114,60,0.00031,42
R5b,Pi,21.9975,3.64E+11,3.69E-06,0.180162131,0.026457218,63,6.70E-05,48
R5b,Px,461500,6.88E+08,0.0001465,0.097675922,0.017274728,63,6.70E-05,48
R6,Pi,83.5125,1.13E+11,4.39E-06,0.174022478,0.024664865,65,8.00E-05,35
R6,Px,45233.33333,850250000,1.79E-05,0.097233831,0.018057085,65,8.00E-05,35
R7a,Pi,233.8775,2.16E+11,6.76E-06,0.1783384,0.029379675,20,0.00012,35
R7a,Px,164666.6667,569500000,1.26E-05,0.073520292,0.009596575,20,0.00012,35
R7b,Pi,32.45,3.33E+11,2.56E-06,0.175269292,0.03084142,53,0.00043,40
R7b,Px,18400,1121750000,4.88E-06,0.086799407,0.007308147,53,0.00043,40
R7c,Pi,89.475,2.07E+11,1.92E-06,0.174208892,0.021881615,17,0.00018,31
R7c,Px,47025,235250000,1.15E-06,0.057583551,0.034489341,17,0.00018,31
R8,Pi,38.05,4.50E+11,8.89E-07,0.184234766,0.031294083,10,3.00E-04,33
R8,Px,793666.6667,8.40E+08,3.46E-05,0.034517376,0.039539004,10,3.00E-04,33
R9,Pi,19.3525,6.00E+11,6.47E-07,0.185410512,0.031744925,11,0.00032,36
R9,Px,899666.6667,440250000,2.21E-05,0.025519309,0.030706642,11,0.00032,36
WT,Pi,40.55,5.48E+11,0.0002105,0.184557022,0.030284074,1270,5.70E-05,45
WT,Px,1335,1.59E+10,0.000201,0.13356663,0.010585317,1270,5.70E-05,45
